                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1541,                 4.4803,                 4.3938,                0.00265,                0.17238,                0.00212,                0.00066,                  2.796,                 4.3656,                  4.158,             0.00015554,             0.00015554,             0.00015554
                      2,                  3.095,                 4.0588,                 4.1291,                0.00264,                0.16919,                0.00231,                0.00066,                 2.7972,                 4.3607,                 4.1656,             0.00032187,             0.00032187,             0.00032187
                      3,                 3.0669,                   3.52,                 3.8162,                0.00241,                0.17133,                0.00209,                0.00059,                  2.794,                 4.3969,                 4.2488,             0.00048787,             0.00048787,             0.00048787
                      4,                 2.8603,                 3.0784,                 3.5244,                0.00238,                0.17104,                0.00232,                0.00061,                 2.7704,                 4.2968,                 4.3053,             0.00065354,             0.00065354,             0.00065354
                      5,                 2.5907,                 2.8197,                 3.2899,                0.00307,                 0.1636,                0.00282,                0.00067,                 2.7601,                 4.2686,                 4.3236,             0.00081888,             0.00081888,             0.00081888
                      6,                 2.4252,                 2.6114,                 3.0772,                0.00331,                0.15924,                0.00285,                0.00067,                 2.7534,                 4.2448,                   4.33,              0.0009839,              0.0009839,              0.0009839
                      7,                 2.3396,                 2.4873,                 2.9229,                0.00743,                0.14472,                0.02867,                0.01274,                 2.7785,                 4.1853,                 4.2867,              0.0011044,              0.0011044,              0.0011044
                      8,                  2.249,                 2.3609,                 2.8076,                0.44755,                0.02589,                0.06962,                0.02466,                 2.5747,                 4.0199,                 4.0074,              0.0011044,              0.0011044,              0.0011044
                      9,                 2.1117,                 2.1356,                 2.6625,                0.73572,                0.17043,                0.23275,                0.09461,                  1.931,                 3.1035,                 2.6946,              0.0011033,              0.0011033,              0.0011033
                     10,                  2.064,                 2.1415,                 2.5879,                0.30208,                 0.2358,                0.32307,                0.13938,                  1.922,                 2.7738,                 2.7234,              0.0011022,              0.0011022,              0.0011022
                     11,                 1.9164,                 1.9875,                 2.4774,                0.47969,                0.27026,                  0.502,                0.22496,                 1.8593,                 2.6042,                 2.5782,              0.0011011,              0.0011011,              0.0011011
                     12,                 1.9376,                 1.9176,                 2.4434,                0.41162,                0.18109,                0.33441,                0.13165,                 1.9565,                 3.0732,                 2.7762,                 0.0011,                 0.0011,                 0.0011
                     13,                 1.8155,                 1.7819,                 2.3645,                 0.5808,                0.58372,                 0.6611,                 0.3399,                  1.699,                 1.5908,                  2.295,              0.0010989,              0.0010989,              0.0010989
                     14,                 1.8151,                 1.7028,                 2.3083,                 0.5987,                 0.8697,                0.76982,                0.39937,                 1.6461,                 1.5811,                  2.229,              0.0010978,              0.0010978,              0.0010978
                     15,                  1.721,                 1.6813,                 2.2679,                0.44918,                0.67246,                0.73299,                0.39465,                   1.65,                 2.0402,                 2.2003,              0.0010967,              0.0010967,              0.0010967
                     16,                 1.6959,                 1.5688,                 2.1969,                0.53536,                0.83527,                0.84921,                0.49536,                  1.595,                 1.5837,                 2.0358,              0.0010956,              0.0010956,              0.0010956
                     17,                 1.6364,                 1.5297,                 2.1641,                0.56343,                0.52996,                0.55449,                0.27081,                 1.7624,                 2.2309,                 2.3004,              0.0010945,              0.0010945,              0.0010945
